id,osm_id,osm_way_id,name,type,aeroway,amenity,admin_leve,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags
"1","19233725",,,multipolygon,,,,,,yes,,,,,,,,,,research,,,,,
"2","19233726",,,multipolygon,,,,,,yes,,,,,,,,,,research,,,,,
"3",,"154079723",中国农业大学体育馆,,,,,,,yes,,,,,,fitness_centre,,,,,,,,,"""name:en""=>""China Agriculture University Gym"",""name:zh""=>""中国农业大学体育馆"",""wikidata""=>""Q2383278"",""wikipedia""=>""en:China Agricultural University Gymnasium"""
"4",,"154079756",学生公寓3号楼,,,,,,,dormitory,,,,,,,,,,,,,,,"""name:en""=>""China Agriculture University Boys‘ Dormitory Building China Agriculture University Boys‘ Dormitory Building"",""name:zh""=>""学生公寓3号楼"",""name:zh-Hans""=>""学生公寓3号楼"",""name:zh-Hant""=>""學生公寓3號樓"""
"5",,"154823425",马锦明大楼（主楼）,,,,,,,university,,,,,,,,,,,,,,,"""name:zh""=>""马锦明大楼（主楼）"",""name:zh-Hans""=>""马锦明大楼（主楼）"",""name:zh-Hant""=>""馬錦明大樓（主樓）"""
"6",,"154823443",二教,,,,,,,university,,,,,,,,,,,,,,,"""name:zh""=>""二教"",""name:zh-Hans""=>""二教"",""name:zh-Hant""=>""二教"""
"7",,"154823446",第一教学楼,,,,,,,university,,,,,,,,,,,,,,,"""name:zh""=>""第一教学楼"",""name:zh-Hans""=>""第一教学楼"",""name:zh-Hant""=>""第一教學樓"""
"8",,"154823541",中国农业大学东区图书馆,,,,,,,yes,,,,,,,,,,,,,,,"""name:zh""=>""中国农业大学东区图书馆"",""name:zh-Hans""=>""中国农业大学东区图书馆"",""name:zh-Hant""=>""中國農業大學東區圖書館"""
"9",,"154827373",学生公寓二号楼,,,,,,,yes,,,,,,,,,,,,,,,"""building:levels""=>""14"",""name:zh""=>""学生公寓二号楼"",""name:zh-Hans""=>""学生公寓二号楼"",""name:zh-Hant""=>""學生公寓二號樓"""
"10",,"161289849",,,,fuel,,,,yes,,,,,,,,,,,,,,,"""brand""=>""中国石化"",""layer""=>""1"""
"11",,"167164906",国际学院,,,,,,,college,,,,,,,,,,,,,,,"""name:zh""=>""国际学院"",""name:zh-Hans""=>""国际学院"",""name:zh-Hant""=>""國際學院"""
"12",,"167166791",Israeli Building,,,,,,,university,,,,,,,,,,,,,,,"""name:en""=>""Israeli Building"""
"13",,"167169195",计算中心楼,,,,,,,yes,,,,,,,,,,,,,,,"""name:en""=>""Computing Center Building"",""name:zh""=>""计算中心楼"""
"14",,"167169201",Teaching Building 3,,,,,,,yes,,,,,,,,,,,,,,,"""name:en""=>""Teaching Building 3"""
"15",,"167169448",,,,,,,,yes,,,,,,,,,,,,,,,
"16",,"167169881",,,,,,,,yes,,,,,,,,,,,,,,,
"17",,"167170295",,,,,,,,yes,,,,,,,,,,,,,,,
"18",,"167170296",,,,,,,,yes,,,,,,,,,,,,,,,
"19",,"167170297",,,,,,,,yes,,,,,,,,,,,,,,,
"20",,"167170298",,,,,,,,yes,,,,,,,,,,,,,,,
"21",,"167170299",,,,,,,,yes,,,,,,,,,,,,,,,
"22",,"167170300",,,,,,,,yes,,,,,,,,,,,,,,,
"23",,"167170301",,,,,,,,yes,,,,,,,,,,,,,,,
"24",,"167170302",,,,,,,,yes,,,,,,,,,,,,,,,
"25",,"167170303",Building 41,,,,,,,apartments,,,,,,,,,,,,,,,"""name:en""=>""Building 41"""
"26",,"167170674",,,,,,,,yes,,,,,,,,,,,,,,,
"27",,"167171221",,,,,,,,yes,,,,,,,,,,,,,,,
"28",,"167171222",女生宿舍楼,,,,,,,dormitory,,,,,,,,,,,,,,,"""name:en""=>""Princess Dorm"",""name:zh""=>""女生宿舍楼"",""name:zh-Hans""=>""女生宿舍楼"",""name:zh-Hant""=>""女生宿舍樓"""
"29",,"167171224",,,,,,,,yes,,,,,,,,,,,,,,,
"30",,"167171226",,,,,,,,yes,,,,,,,,,,,,,,,
"31",,"167302110",,,,,,,,yes,,,,,,,,,,,,,,,
"32",,"167302111",,,,,,,,yes,,,,,,,,,,,,,,,
"33",,"167302112",,,,,,,,yes,,,,,,,,,,,,,,,
"34",,"167302118",,,,,,,,yes,,,,,,,,,,,,,,,
"35",,"167302119",,,,,,,,yes,,,,,,,,,,,,,,,
"36",,"167302120",,,,,,,,yes,,,,,,,,,,,,,,,
"37",,"167302122",,,,,,,,yes,,,,,,,,,,,,,,,
"38",,"167302124",,,,,,,,yes,,,,,,,,,,,,,,,
"39",,"167302125",,,,,,,,yes,,,,,,,,,,,,,,,
"40",,"167302126",,,,,,,,yes,,,,,,,,,,,,,,,
"41",,"167303918",,,,,,,,yes,,,,,,,,,,,,,,,
"42",,"167303921",,,,,,,,yes,,,,,,,,,,,,,,,
"43",,"167303925",,,,,,,,yes,,,,,,,,,,,,,,,
"44",,"167303927",,,,,,,,yes,,,,,,,,,,,,,,,
"45",,"167303929",,,,,,,,yes,,,,,,,,,,,,,,,
"46",,"167303931",,,,,,,,yes,,,,,,,,,,,,,,,
"47",,"167303932",,,,,,,,yes,,,,,,,,,,,,,,,
"48",,"167303933",,,,,,,,yes,,,,,,,,,,,,,,,
"49",,"167303934",,,,,,,,yes,,,,,,,,,,,,,,,
"50",,"167303935",,,,,,,,yes,,,,,,,,,,,,,,,
"51",,"167303936",,,,,,,,yes,,,,,,,,,,,,,,,
"52",,"167303937",,,,,,,,yes,,,,,,,,,,,,,,,
"53",,"167303944",,,,,,,,yes,,,,,,,,,,,,,,,
"54",,"167303947",,,,,,,,yes,,,,,,,,,,,,,,,
"55",,"167303948",,,,,,,,yes,,,,,,,,,,,,,,,
"56",,"167303949",,,,,,,,yes,,,,,,,,,,,,,,,
"57",,"167303950",,,,,,,,yes,,,,,,,,,,,,,,,
"58",,"167303953",,,,,,,,yes,,,,,,,,,,,,,,,
"59",,"167303954",,,,,,,,yes,,,,,,,,,,,,,,,
"60",,"167303955",,,,,,,,yes,,,,,,,,,,,,,,,
"61",,"167303957",,,,,,,,yes,,,,,,,,,,,,,,,
"62",,"167303958",,,,,,,,yes,,,,,,,,,,,,,,,
"63",,"167303959",,,,,,,,yes,,,,,,,,,,,,,,,
"64",,"167304458",,,,,,,,yes,,,,,,,,,,,,,,,
"65",,"167304640",,,,,,,,school,,,,,,,,,,,,,,,
"66",,"167304642",,,,,,,,yes,,,,,,,,,,,,,,,
"67",,"167320565",学院8号,,,,,,,retail,,,,,,,,,,,,,,,"""layer""=>""1"",""name:zh""=>""学院8号"",""name:zh-Hans""=>""学院8号"",""name:zh-Hant""=>""學院8號"""
"68",,"167320566",新辰里学清路店,,,,,,,yes,,,,,,,,,,,,mall,,,"""name:zh""=>""新辰里学清路店"",""name:zh-Hans""=>""新辰里学清路店"",""name:zh-Hant""=>""新辰里學清路店"",""old_name""=>""圣熙8号购物中心"""
"69",,"167321095",,,,,,,,yes,,,,,,,,,,,,,,,
"70",,"167349333",金码大厦,,,,,,,yes,,,,,,,,,,,,,,,"""name:en""=>""Gold Code Plaza"",""name:zh""=>""金码大厦"",""name:zh-Hans""=>""金码大厦"",""name:zh-Hant""=>""金碼大廈"""
"71",,"167349520",,,,,,,,yes,,,,,,,,,,,,,,,
"72",,"167349564",,,,,,,,yes,,,,,,,,,,,,,,,
"73",,"167349566",,,,,,,,yes,,,,,,,,,,,,,,,
"74",,"167349880",,,,,,,,yes,,,,,,,,,,,,,,,
"75",,"167349881",,,,,,,,yes,,,,,,,,,,,,,,,
"76",,"167349884",,,,,,,,yes,,,,,,,,,,,,,,,
"77",,"167349885",,,,,,,,yes,,,,,,,,,,,,,,,
"78",,"167349886",,,,,,,,yes,,,,,,,,,,,,,,,
"79",,"167350464",,,,,,,,yes,,,,,,,,,,,,,,,
"80",,"167350466",,,,,,,,yes,,,,,,,,,,,,,,,
"81",,"167350467",,,,,,,,yes,,,,,,,,,,,,,,,
"82",,"167350468",,,,,,,,yes,,,,,,,,,,,,,,,
"83",,"167350470",,,,,,,,yes,,,,,,,,,,,,,,,
"84",,"167354300",,,,,,,,yes,,,,,,,,,,,,,,,
"85",,"167354391",,,,,,,,yes,,,,,,,,,,,,,,,
