id,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags
"1","21691079",,primary,,,,,,"7","""oneway""=>""yes"""
"2","26679376",学清路,tertiary,,,,,,"4","""cycleway:right""=>""lane"",""name:en""=>""Xueqing Road"",""name:fr""=>""Route Xuéqīng"",""name:zh""=>""学清路"",""name:zh-Hans""=>""学清路"",""name:zh-Hant""=>""學清路"",""name:zh-Latn-pinyin""=>""xuéqīng lù"",""oneway""=>""yes"""
"3","29235323",京藏高速,motorway,,,,,,"9","""alt_name""=>""八达岭高速"",""alt_name:en""=>""Badaling Expressway"",""lanes""=>""3"",""name:en""=>""Beijing-Lasa Expwy"",""oneway""=>""yes"",""ref""=>""G6;G110"",""short_name""=>""京藏高速"",""surface""=>""asphalt"""
"4","30784183",科荟桥,primary,,,,,,"27","""bridge""=>""yes"",""layer""=>""1"",""name:zh""=>""科荟桥"",""name:zh-Hans""=>""科荟桥"",""name:zh-Hant""=>""科薈橋"",""oneway""=>""yes"""
"5","30784189",石板房南路,primary,,,,,,"7","""name:zh""=>""石板房南路"",""name:zh-Hans""=>""石板房南路"",""name:zh-Hant""=>""石板房南路"",""oneway""=>""yes"""
"6","30784194",,primary,,,,,,"7","""oneway""=>""yes"""
"7","42364506",,tertiary,,,,,,"4","""surface""=>""asphalt"""
"8","48051223",G6辅路,primary,,,,,,"7","""name:zh""=>""G6辅路"",""name:zh-Hans""=>""G6辅路"",""name:zh-Hant""=>""G6輔路"",""oneway""=>""yes"",""ref""=>""S216"",""surface""=>""asphalt"""
"9","55819998",科荟桥,primary,,,,,,"27","""bridge""=>""yes"",""layer""=>""1"",""name:zh""=>""科荟桥"",""name:zh-Hans""=>""科荟桥"",""name:zh-Hant""=>""科薈橋"",""oneway""=>""yes"""
"10","55820091",,motorway_link,,,,,,"29","""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""surface""=>""asphalt"""
"11","55820118",石板房南路,primary,,,,,,"7","""name:zh""=>""石板房南路"",""name:zh-Hans""=>""石板房南路"",""name:zh-Hant""=>""石板房南路"",""oneway""=>""yes"""
"12","59452363",科荟路,tertiary,,,,,,"4","""cycleway""=>""track"",""lanes""=>""3"",""name:en""=>""KEHUI Rd"",""name:zh""=>""科荟路"",""name:zh-Hans""=>""科荟路"",""name:zh-Hant""=>""科薈路"",""oneway""=>""yes"""
"13","59452364",,tertiary,,,,,,"4","""cycleway:right""=>""track"",""oneway""=>""yes"""
"14","119617635",,residential,,,,,,"3",
